text,tweet_id,name,retweet_count,tweet_location,tweet_created,user_timezone,tweet_coord
"RT @Convergexyz: Despite the fear that robots are coming to take over our jobs, the future may be more about workin… https://t.co/Y778beyN9k",993961263939145728,fow_media,0,Global ,2018-05-08 21:10:06 +0000,,
"RT @DalithSteiger: Jobs Robots Will Create—or Expand
#CHR #Mixed_Reality #Robot #Automation #Automotive #Consulting #Education #Research #S…",993961168963293184,SergioMasaAvis,44,"Badajoz, Spain",2018-05-08 21:09:44 +0000,Ljubljana,
"RT @CafeEconomics: ""The number of robots deployed by Indian firms has witnessed a 200-fold increase since the turn of the 21st century""
In…",993960714376241153,kishore_lalit,33,india,2018-05-08 21:07:55 +0000,New Delhi,
RT @shaypidges: theyre chefs in a futuristic city and just got put out of their jobs by some bitchass entrepreneur who developed robots who…,993957078963314692,ToobaornotTooba,2,read Brawl in the family,2018-05-08 20:53:29 +0000,,
RT @psb_dc: Will AI (the robots) eliminate the need for human labor?  Or will the next technological revolution be a good thing for our abi…,993955250951348224,SSXman2,1,"Benin-City, Nigeria",2018-05-08 20:46:13 +0000,,
"RT @IainLJBrown: Domino's on Quest for Digital Dominance Using Artificial Intelligence

Read more here: https://t.co/dMdo70EnhG

#Artificia…",993955165333049345,Tsundu_Mak,28,South Africa,2018-05-08 20:45:52 +0000,Pacific Time (US & Canada),
"RT @theitskeptic: Machines can only automate machines.

Axiom: automation doesn't take away jobs, it only takes away tasks.

Robots and aut…",993954724046147584,stephenmann,1,Peterborough,2018-05-08 20:44:07 +0000,London,
"RT @IainLJBrown: Domino's on Quest for Digital Dominance Using Artificial Intelligence

Read more here: https://t.co/V4GbuPhLFj

#Artificia…",993954660082966528,Tsundu_Mak,23,South Africa,2018-05-08 20:43:52 +0000,Pacific Time (US & Canada),
"RT @SpirosMargaris: Good read

Seven #Jobs #Robots Will Create—or Expand 

https://t.co/tU77FWCbHQ #fintech #insurtech @danielas_bot #AI #A…",993954414774964224,SSXman2,29,"Benin-City, Nigeria",2018-05-08 20:42:53 +0000,,
How are those coal jobs coming? I heard robots are taking over coal industry. https://t.co/eVd1rt1vHK,993954347816927232,GiantPumpkinPig,0,Germany,2018-05-08 20:42:37 +0000,Pacific Time (US & Canada),
@XStrategiesDC We know what he promises about jobs to China. But the NEW THREAT is robots replacing humans. What is his policy on that?,993954330242965504,Bolthrower1,0,Closer than you think,2018-05-08 20:42:33 +0000,,
If Sport is usually looked at as a Vocation and not a Job how long before Workers of all age will only have it to p… https://t.co/Z0bmuwlQTQ,993952805697347584,SinoSoccaSolva,0,Birmingham West Midlands,2018-05-08 20:36:30 +0000,,
RT @shaypidges: theyre chefs in a futuristic city and just got put out of their jobs by some bitchass entrepreneur who developed robots who…,993952588407111682,rice_deity,2,read listo for spoilos ,2018-05-08 20:35:38 +0000,Eastern Time (US & Canada),
RT @HaroldSinnott: Can #softskills save your #job from #ai and #robots? &gt;&gt; @wef via @MikeQuindazzi &gt;&gt; #futureofwork #robotics #autonomous #…,993951949752942592,Bill_IoT,13,"Denver, CO",2018-05-08 20:33:06 +0000,Mountain Time (US & Canada),
"Machines can only automate machines.

Axiom: automation doesn't take away jobs, it only takes away tasks.

Robots a… https://t.co/mNlVojjoDd",993950347595997185,theitskeptic,1,"Porirua, New Zealand",2018-05-08 20:26:44 +0000,Pacific/Auckland,
"Robots are taking chefs jobs too... @HolliSemetko #700tech

https://t.co/anG0KpWrhE",993948707942002688,kelsey_mase,0,"Atlanta, GA",2018-05-08 20:20:13 +0000,,
Experts State Robots will eliminate 6% of all US jobs by 2021 https://t.co/urtoGLEtqN,993948507659755521,martindorman855,0,new,2018-05-08 20:19:25 +0000,,
"RT @ValaAfshar: Robots could replace 800 million jobs by 2030.

“Everything we teach should be different from machines.”

—Jack Ma, CEO @Al…",993948259281448960,matipedza,102,Zimbabwe,2018-05-08 20:18:26 +0000,,
"Wow! We are in the 4th Industrial Revolution!!! #ArtificialInteligence and #Robots taking away jobs.

South Africa… https://t.co/TLEi0PLEhj",993946233164259333,TheeFifi,0,Vanderbijlpark,2018-05-08 20:10:23 +0000,Pretoria,
