text,tweet_id,name,retweet_count,tweet_location,tweet_created,user_timezone,tweet_coord
@elonmusk is partially right about #AI dangers... It's less about robots deciding to throw bricks as… https://t.co/VNc6Hw8PxB,993960118550081536,mgualtieri,0,"Massachusetts, USA",2018-05-08 21:05:33 +0000,Eastern Time (US & Canada),
https://t.co/kS2bV6fSqa :  Welsh police facial recognition has 92 fail rate showing dangers of early AI https://t.co/ZT3tZwbEvH,993957694477254656,SecurityNews,0,SecurityNewsWire.com,2018-05-08 20:55:55 +0000,Eastern Time (US & Canada),
RT @AI__TECH: A.I. Video Depicting Barack Obama Shows Dangers of Fake News https://t.co/ghVdKZoZa5 #AI https://t.co/TL5XMcKlUp,993952459990089729,Kaori__01,6,,2018-05-08 20:35:07 +0000,,
"Welsh police facial recognition has 92% fail rate, showing dangers of early AI https://t.co/3bnE517CED https://t.co/gXvxuVCd4N",993950403015327744,tcdi,0,"Greensboro, NC",2018-05-08 20:26:57 +0000,Eastern Time (US & Canada),
"❂ Welsh police facial recognition has 92% fail rate, showing dangers of early AI https://t.co/X34sD2IYXF #310ei #security",993949155985903616,310enterprises,0,USA - Midwest,2018-05-08 20:22:00 +0000,Central Time (US & Canada),
"Welsh police facial recognition has 92% fail rate, showing dangers of early AI (TechRepublic): https://t.co/MIFqgdecPn",993948204742963205,CSFI_DCOE,0,"ÜT: 38.869721,-77.259362",2018-05-08 20:18:13 +0000,Eastern Time (US & Canada),
"Welsh police facial recognition has 92% fail rate, showing dangers of early AI https://t.co/iipoGZ8mfY https://t.co/v7QwEyc8TZ",993947128450945024,RahatSagor1,0,"Mirpur,Dhaka,Bangladesh",2018-05-08 20:13:56 +0000,,
"Welsh police facial recognition has 92% fail rate, showing dangers of early AI https://t.co/HPQLfpnjiA https://t.co/4xXk4sHDlL",993945879152279553,Cloud53ltd,0,"Manchester, England",2018-05-08 20:08:58 +0000,London,
"Welsh police facial recognition has 92% fail rate, showing dangers of early AI #ai #AI https://t.co/AtjHg4N7ZP",993945749246365696,peetm,0,"Oxford, England",2018-05-08 20:08:27 +0000,London,
This is actually really cool but also I've seen enough movies about the dangers of AI. 🤣🙄 https://t.co/Zrgyet8iIR,993943877894651904,DazzlinS07,0,"West Coast, USA",2018-05-08 20:01:01 +0000,Arizona,
